"Grid.ID","Date","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
"3628","06-Jan-2022",11.33,734.818,5216.558,3.0,261.8,426.8,831.5,0.29,640.1,2380.0,1.579e-01,4.505e-04,7.128e+03,0.000e+00,0.000e+00,0.000e+00,3.831e-02,7.123e-01
"3629","06-Jan-2022",10.87,738.818,5216.558,3.0,260.8,422.6,775.1,0.31,539.2,1704.0,9.041e-02,2.972e-04,4.107e+03,0.000e+00,0.000e+00,0.000e+00,2.483e-02,8.669e-01
"3630","06-Jan-2022",10.65,742.818,5216.558,2.8,260.6,441.6,772.9,0.31,16.3,2712.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.110e-03,7.947e-01
"4009","06-Jan-2022",12.22,722.818,5212.558,2.8,263.7,509.5,935.5,0.21,684.9,2553.0,1.718e-01,1.560e-03,2.133e+03,0.000e+00,0.000e+00,0.000e+00,3.069e-02,6.591e-01
"4010","06-Jan-2022",11.91,726.818,5212.558,2.9,263.5,501.7,911.2,0.21,2388.6,1899.0,6.519e-01,5.251e-03,8.445e+03,0.000e+00,1.094e-02,0.000e+00,6.834e-02,7.660e-01
"4011","06-Jan-2022",11.51,730.818,5212.558,2.9,263.0,494.2,878.6,0.22,1636.0,1503.0,3.891e-01,2.092e-03,1.044e+04,0.000e+00,8.120e-03,0.000e+00,6.195e-02,8.722e-01
"4012","06-Jan-2022",11.06,734.818,5212.558,3.0,262.1,490.5,833.0,0.23,1145.4,1731.0,2.147e-01,7.804e-04,1.007e+04,0.000e+00,0.000e+00,0.000e+00,5.682e-02,9.133e-01
"4013","06-Jan-2022",10.60,738.818,5212.558,3.0,261.2,487.7,783.8,0.25,578.0,2947.0,1.286e-01,3.536e-04,5.797e+03,0.000e+00,0.000e+00,0.000e+00,3.230e-02,7.773e-01
"4385","06-Jan-2022",16.65,690.818,5208.558,2.8,265.1,495.6,871.2,0.18,261.9,1521.0,1.469e+00,3.073e-03,8.300e+03,1.480e+04,0.000e+00,1.311e-02,7.253e-03,5.701e-01
"4387","06-Jan-2022",14.16,698.818,5208.558,2.5,263.5,513.5,831.4,0.23,277.9,2319.0,1.039e-01,8.344e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.683e-02,6.135e-01
"4392","06-Jan-2022",12.21,718.818,5208.558,2.5,264.1,568.3,958.0,0.17,1225.2,2523.0,4.582e-01,3.602e-03,2.839e+03,0.000e+00,4.644e-03,0.000e+00,4.712e-02,7.870e-01
"4393","06-Jan-2022",12.14,722.818,5208.558,2.6,264.3,563.2,948.3,0.16,3802.7,1615.0,9.763e-01,9.433e-03,9.136e+03,0.000e+00,1.520e-02,0.000e+00,1.012e-01,8.549e-01
"4394","06-Jan-2022",11.81,726.818,5208.558,2.7,264.0,556.2,922.2,0.16,3432.0,1296.0,7.418e-01,6.082e-03,1.050e+04,0.000e+00,1.553e-02,0.000e+00,9.594e-02,8.550e-01
"4395","06-Jan-2022",11.34,730.818,5208.558,2.7,263.5,548.0,886.3,0.16,2123.9,2383.0,4.757e-01,3.503e-03,9.564e+03,0.000e+00,1.094e-02,0.000e+00,7.065e-02,8.964e-01
"4396","06-Jan-2022",10.87,734.818,5208.558,2.8,262.8,542.1,845.2,0.17,475.9,2499.0,1.095e-01,4.186e-04,4.960e+03,0.000e+00,0.000e+00,0.000e+00,3.888e-02,9.230e-01
"4764","06-Jan-2022",14.87,670.818,5204.558,2.0,264.1,453.3,882.4,0.08,16.6,3104.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.694e-01
"4765","06-Jan-2022",16.17,674.818,5204.558,2.3,265.0,487.8,936.2,0.08,202.5,2130.0,6.465e-02,4.550e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.138e-02,7.813e-01
"4766","06-Jan-2022",17.48,678.818,5204.558,2.7,265.9,522.7,988.9,0.09,440.4,1605.0,7.626e-02,4.591e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.304e-02,7.663e-01
"4767","06-Jan-2022",17.87,682.818,5204.558,2.7,266.2,539.5,990.8,0.10,1699.5,2136.0,6.861e-01,3.989e-03,4.720e+03,7.328e+03,4.077e-03,3.348e-03,5.258e-02,6.885e-01
"4768","06-Jan-2022",18.04,686.818,5204.558,2.8,266.3,553.9,989.5,0.11,1489.0,1729.0,1.117e+00,3.832e-03,1.067e+04,1.933e+04,4.272e-03,1.116e-02,4.405e-02,7.922e-01
"4769","06-Jan-2022",16.39,690.818,5204.558,2.7,265.6,548.9,960.7,0.13,685.8,2111.0,9.224e-01,2.039e-03,1.003e+04,1.770e+04,0.000e+00,1.653e-02,6.742e-02,8.870e-01
"4770","06-Jan-2022",14.87,694.818,5204.558,2.7,264.9,546.5,935.8,0.15,602.1,1557.0,1.102e-01,8.781e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.844e-02,8.602e-01
"4771","06-Jan-2022",13.84,698.818,5204.558,2.4,264.3,555.1,924.2,0.17,367.5,1646.0,6.979e-02,5.129e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.362e-02,9.198e-01
"4772","06-Jan-2022",12.97,702.818,5204.558,2.2,263.8,566.6,918.9,0.18,144.6,2204.0,4.357e-02,3.748e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.003e-02,9.522e-01
"4773","06-Jan-2022",12.47,706.818,5204.558,2.0,263.7,585.1,927.7,0.18,3.1,2763.0,2.096e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.728e-03,8.939e-01
"4774","06-Jan-2022",12.15,710.818,5204.558,2.1,263.8,600.9,943.2,0.16,87.1,2412.0,1.053e-02,1.165e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.154e-02,8.808e-01
"4775","06-Jan-2022",12.10,714.818,5204.558,2.2,264.2,612.9,967.3,0.14,694.7,2121.0,1.156e-01,9.742e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.190e-02,9.363e-01
"4776","06-Jan-2022",12.06,718.818,5204.558,2.3,264.6,618.1,972.8,0.13,2210.6,1852.0,6.009e-01,5.573e-03,5.069e+03,0.000e+00,8.163e-03,0.000e+00,8.246e-02,8.890e-01
"4777","06-Jan-2022",12.05,722.818,5204.558,2.4,264.8,616.6,961.4,0.11,5217.3,1239.0,1.264e+00,1.172e-02,1.147e+04,0.000e+00,1.650e-02,0.000e+00,1.299e-01,8.173e-01
"4778","06-Jan-2022",11.72,726.818,5204.558,2.5,264.6,610.8,933.5,0.11,6084.8,2440.0,1.509e+00,1.427e-02,1.338e+04,0.000e+00,2.062e-02,6.183e-04,1.345e-01,8.036e-01
"4779","06-Jan-2022",11.17,730.818,5204.558,2.5,264.1,601.7,894.2,0.11,496.8,2525.0,4.379e-02,3.185e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.987e-02,9.289e-01
"4780","06-Jan-2022",10.67,734.818,5204.558,2.6,263.5,593.9,856.9,0.11,364.0,2132.0,3.789e-02,2.595e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.549e-02,9.476e-01
"4781","06-Jan-2022",10.21,738.818,5204.558,2.7,262.8,586.4,820.9,0.12,43.7,2810.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.413e-03,7.345e-01
"5147","06-Jan-2022",13.29,666.818,5200.558,1.8,263.3,483.2,849.7,0.08,0.9,2886.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.057e-01
"5148","06-Jan-2022",14.34,670.818,5200.558,1.9,264.5,507.1,919.5,0.06,522.0,2004.0,1.475e-01,9.961e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.150e-02,9.492e-01
"5149","06-Jan-2022",15.69,674.818,5200.558,2.3,265.3,535.1,974.8,0.06,1086.6,2210.0,2.768e-01,1.465e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.882e-02,8.943e-01
"5150","06-Jan-2022",17.08,678.818,5200.558,2.7,266.1,563.2,1027.5,0.07,2082.9,1814.0,3.570e-01,2.548e-03,0.000e+00,0.000e+00,3.325e-03,0.000e+00,1.232e-01,8.284e-01
"5151","06-Jan-2022",17.54,682.818,5200.558,2.7,266.3,573.8,1030.5,0.07,6413.6,1598.0,1.553e+00,1.163e-02,8.362e+03,1.568e+04,1.612e-02,9.643e-04,1.565e-01,7.904e-01
