"UTMX","UTMY"
444.324,4324.260
444.105,4324.787
443.977,4324.931
443.765,4325.425
443.760,4325.446
443.757,4325.456
443.758,4326.192
443.771,4326.198
443.782,4326.202
443.791,4326.201
443.835,4326.154
443.844,4326.141
443.852,4326.129
443.861,4326.083
443.866,4326.041
443.900,4325.982
443.912,4325.967
443.943,4325.937
443.964,4325.927
444.007,4325.925
444.029,4325.926
444.074,4325.948
444.091,4325.957
444.124,4325.977
444.172,4326.013
444.490,4326.384
444.523,4326.470
444.527,4326.508
444.523,4326.585
444.512,4326.662
444.361,4326.796
444.049,4327.110
444.039,4327.137
443.860,4327.733
443.857,4327.798
443.976,4327.970
444.689,4328.609
444.687,4329.005
444.694,4329.140
444.695,4329.172
445.276,4329.465
445.643,4329.563
445.857,4329.603
445.805,4329.417
446.208,4328.263
446.241,4328.200
446.260,4328.164
446.309,4328.108
446.374,4328.042
446.387,4328.035
446.402,4328.026
446.420,4328.017
446.871,4327.974
446.943,4327.968
448.926,4328.243
449.088,4328.296
449.343,4328.458
449.575,4328.616
449.829,4328.788
450.101,4328.968
450.267,4329.008
450.350,4329.021
450.370,4328.979
450.556,4328.460
450.600,4328.120
450.647,4328.003
450.792,4327.661
450.841,4327.575
450.845,4327.571
450.964,4327.513
451.011,4327.491
451.023,4327.491
451.035,4327.493
451.078,4327.505
451.094,4327.510
451.304,4327.450
451.331,4327.440
451.461,4327.367
451.486,4327.352
451.831,4327.142
452.547,4326.643
452.829,4326.393
452.889,4326.331
452.928,4326.290
452.957,4326.257
452.992,4326.210
452.997,4326.195
453.032,4326.086
453.043,4325.946
453.044,4325.888
453.040,4325.811
453.025,4325.663
453.001,4325.580
452.991,4325.554
452.985,4325.501
452.984,4325.481
452.984,4325.450
452.991,4325.399
453.007,4325.299
453.205,4324.214
453.675,4323.349
454.510,4323.463
454.539,4323.470
454.553,4323.474
454.596,4323.492
454.676,4323.537
454.727,4323.571
454.767,4323.600
454.798,4323.624
454.824,4323.650
454.839,4323.669
454.899,4323.804
454.913,4323.845
454.892,4324.005
454.845,4324.339
454.806,4324.604
454.809,4324.613
454.839,4324.695
454.862,4324.736
454.884,4324.772
455.200,4325.302
455.489,4325.790
455.577,4325.945
455.655,4326.089
455.754,4326.285
455.757,4326.296
455.757,4326.305
455.711,4326.312
455.541,4326.313
455.696,4326.761
455.502,4326.693
454.959,4327.272
454.568,4328.456
454.321,4329.357
454.043,4329.918
453.909,4330.075
453.894,4330.085
453.803,4330.147
453.409,4330.366
453.399,4330.370
453.386,4330.366
453.184,4330.272
453.124,4330.216
452.882,4330.042
452.865,4330.033
452.494,4329.939
452.463,4329.934
452.340,4329.916
451.819,4329.855
451.601,4329.964
451.363,4330.261
451.353,4330.279
451.333,4330.316
451.237,4330.490
451.229,4330.505
451.219,4330.531
451.215,4330.545
451.038,4331.339
451.482,4332.588
451.367,4334.235
451.103,4334.572
450.599,4335.095
450.373,4335.328
449.755,4335.934
449.287,4336.248
449.138,4336.179
448.818,4335.057
448.864,4334.973
449.124,4334.813
449.385,4334.666
449.586,4334.118
449.437,4333.666
449.422,4333.636
449.344,4333.621
449.244,4333.720
448.870,4334.255
448.748,4334.555
448.722,4335.090
448.576,4335.790
448.298,4336.824
448.228,4337.224
448.203,4337.369
448.135,4338.038
448.186,4338.127
448.311,4338.419
448.312,4338.447
447.994,4338.941
447.874,4339.067
447.837,4339.079
447.603,4339.136
447.546,4339.146
447.513,4339.145
447.424,4339.084
447.282,4338.971
446.497,4339.500
445.802,4340.218
445.463,4340.884
445.329,4342.250
445.333,4342.289
446.307,4343.239
447.443,4344.304
447.729,4344.545
447.944,4344.670
448.310,4344.990
448.409,4345.238
448.598,4345.539
448.658,4345.616
449.184,4346.283
449.492,4346.437
449.504,4346.442
449.523,4346.451
449.539,4346.456
449.553,4346.460
449.583,4346.446
449.609,4346.437
449.740,4346.449
449.987,4346.473
450.015,4346.476
450.029,4346.480
450.045,4346.486
450.073,4346.497
450.096,4346.507
450.128,4346.532
450.234,4346.625
450.295,4346.692
450.426,4346.843
450.449,4346.881
450.529,4347.015
450.685,4347.316
451.115,4348.251
451.201,4348.446
451.312,4348.757
451.392,4348.995
451.429,4349.134
451.449,4349.332
451.277,4350.612
451.267,4350.647
451.119,4351.104
451.005,4351.525
450.901,4351.747
450.586,4352.255
450.566,4352.280
450.550,4352.299
450.392,4352.443
450.305,4352.501
450.211,4352.508
449.988,4352.545
449.962,4352.569
