"Station.ID","UTMX","UTMY"
IT1396A,446.999,4340.106
IT1397A,499.640,4341.961
IT1407A,502.765,4454.087
IT1409A,613.633,4841.063
IT1420A,949.687,4679.855
IT1423A,930.469,4713.744
IT1427A,527.943,4463.204
IT1428A,527.329,4463.386
IT1440A,1052.042,4123.377
IT1449A,1049.568,4243.822
IT1451A,709.248,4948.818
IT1456A,566.589,4884.517
IT1457A,565.526,4883.489
IT1459A,487.088,5047.718
IT1464A,543.471,5038.369
IT1465A,594.999,5039.987
IT1474A,852.886,5086.754
IT1475A,872.635,5063.420
IT1476A,872.639,5064.097
IT1485A,950.397,4560.390
IT1486A,949.014,4561.915
IT1487A,947.924,4561.125
IT1488A,952.084,4557.809
IT1491A,944.426,4535.901
IT1492A,942.976,4535.380
IT1493A,950.208,4537.441
IT1495A,944.621,4538.001
IT1496A,941.034,4535.223
IT1497A,942.911,4536.933
IT1504A,987.678,4519.703
IT1509A,483.262,5028.487
IT1510A,466.313,5086.395
IT1519A,433.878,4917.992
IT1523A,437.282,4973.137
IT1529A,383.555,4915.319
IT1532A,444.234,5062.432
IT1533A,454.165,5019.599
IT1535A,681.590,5005.947
IT1536A,567.530,4885.106
IT1538A,851.868,5082.920
IT1539A,801.632,5157.919
IT1544A,568.642,4884.077
IT1546A,567.189,4879.397
IT1547A,569.257,4886.526
IT1549A,489.973,4929.482
IT1551A,676.522,4847.214
IT1552A,879.559,4228.178
IT1553A,661.132,4864.513
IT1557A,606.815,4819.411
IT1560A,607.404,4823.277
IT1566A,1058.395,4121.772
IT1571A,652.907,4867.065
IT1575A,450.790,4336.598
IT1576A,446.995,4339.521
IT1578A,814.766,4867.495
IT1580A,460.948,4908.602
IT1582A,456.377,4998.219
IT1585A,1074.998,4519.712
IT1586A,1076.315,4519.538
IT1587A,857.846,5097.419
IT1588A,486.038,5073.725
IT1590A,752.246,5062.764
IT1592A,672.647,4736.600
IT1593A,673.352,4738.408
IT1594A,748.455,5114.789
IT1596A,772.601,5081.925
IT1598A,1075.705,4631.631
IT1601A,1078.337,4635.976
IT1606A,1162.539,4581.460
IT1607A,1192.677,4518.376
IT1608A,1194.819,4522.658
IT1609A,1199.516,4518.457
IT1610A,1198.133,4507.360
IT1611A,1197.499,4514.622
IT1613A,1200.976,4511.802
IT1614A,1203.232,4506.562
IT1617A,1250.913,4512.497
IT1618A,1257.130,4536.818
IT1619A,724.877,5101.579
IT1621A,1161.203,4582.428
IT1624A,1160.289,4579.793
IT1644A,616.799,4858.338
IT1648A,509.791,5063.748
IT1650A,501.884,5052.600
IT1651A,873.266,5062.709
IT1654A,668.079,4859.870
IT1657A,1263.730,4520.796
IT1658A,1267.781,4521.495
IT1662A,563.903,4885.917
IT1663A,1246.087,4527.988
IT1664A,1261.004,4512.982
IT1665A,1273.426,4518.801
IT1666A,1266.711,4511.985
IT1670A,759.094,4892.433
IT1672A,614.093,4906.158
IT1674A,1081.332,4521.997
IT1676A,470.257,5031.934
IT1680A,1204.257,4539.067
IT1681A,733.967,4838.234
IT1687A,1272.938,4506.090
IT1692A,518.432,5036.116
IT1696A,679.775,5145.023
IT1698A,497.467,4916.849
IT1701A,1256.286,4537.169
IT1702A,1256.588,4538.635
IT1704A,1259.856,4535.537
IT1706A,458.313,4906.778
IT1718A,1039.083,4169.601
IT1725A,371.055,5066.196
IT1728A,799.811,4717.557
IT1734A,527.093,5076.422
IT1735A,500.744,4982.981
IT1736A,493.305,4987.490
IT1737A,595.245,5040.917
IT1739A,582.223,4999.282
IT1740A,1064.998,4568.030
IT1741A,1135.601,4508.763
IT1742A,1086.896,4485.556
IT1743A,521.410,5047.544
IT1744A,1138.000,4531.453
IT1745A,803.934,4739.157
IT1746A,490.168,4995.671
IT1751A,496.113,4935.632
IT1753A,972.350,4616.192
IT1773A,819.697,4820.386
IT1788A,412.266,5033.687
IT1790A,759.468,5117.595
IT1791A,699.477,5080.406
IT1792A,539.304,5041.737
IT1794A,1052.721,4247.489
IT1795A,859.318,4801.995
IT1796A,878.973,4808.701
IT1798A,973.327,4615.853
IT1799A,973.071,4617.262
IT1800A,996.463,4667.309
IT1802A,936.230,4618.304
IT1804A,921.425,4604.819
IT1806A,961.843,4600.017
IT1812A,538.540,5084.508
IT1817A,1198.023,4567.174
IT1818A,1137.752,4547.235
IT1819A,587.853,4881.158
IT1822A,1111.305,4590.188
IT1823A,1166.828,4563.887
IT1826A,530.713,5077.479
IT1827A,863.842,4838.628
IT1829A,1074.073,4248.163
IT1830A,470.261,4974.166
IT1833A,679.051,5045.094
IT1834A,794.341,4645.907
IT1835A,792.910,4650.006
IT1836A,785.958,4645.129
IT1837A,787.972,4640.498
IT1838A,697.825,5046.712
IT1841A,799.691,4633.627
IT1842A,854.069,4758.903
IT1843A,877.477,4754.364
IT1847A,329.539,4989.094
IT1848A,658.951,5050.515
IT1850A,492.158,4923.273
IT1852A,671.616,5126.161
IT1856A,860.950,4699.524
IT1857A,886.022,4733.514
IT1859A,663.091,5107.805
IT1860A,805.915,4738.688
IT1862A,751.479,5042.456
IT1863A,933.077,4636.198
IT1868A,641.121,5002.355
IT1869A,640.042,5002.762
IT1870A,707.259,5018.565
IT1871A,709.278,5011.588
IT1874A,480.763,5014.208
IT1876A,536.341,5058.970
IT1877A,391.779,4988.523
IT1878A,453.162,5018.551
IT1880A,726.095,5035.155
IT1882A,401.298,4851.961
IT1883A,458.963,4907.031
IT1884A,496.029,4916.646
IT1887A,492.989,4917.848
IT1888A,861.430,4219.395
IT1889A,911.828,4213.745
IT1890A,966.600,4170.587
IT1894A,890.076,4771.071
IT1895A,1140.658,4501.866
IT1897A,1070.637,4566.116
IT1898A,811.404,4213.127
IT1899A,1031.436,4169.096
IT1900A,802.467,4762.121
IT1901A,789.843,4806.206
IT1902A,782.381,4774.088
IT1903A,436.634,4971.511
IT1904A,504.147,4956.658
IT1905A,696.919,5045.139
IT1906A,788.311,4643.837
IT1908A,772.358,4888.148
IT1910A,608.181,4975.656
IT1911A,602.188,4945.712
IT1914A,631.429,4970.195
IT1915A,791.167,4870.806
IT1916A,774.141,4879.011
IT1917A,682.077,4956.456
IT1918A,709.474,4966.926
IT1919A,732.933,4958.465
IT1920A,644.497,4933.596
IT1921A,671.871,4977.242
IT1923A,554.599,4988.615
IT1924A,580.341,4982.283
IT1927A,736.908,4934.675
IT1928A,765.885,4908.806
IT1930A,663.065,5118.089
IT1932A,1279.364,4508.802
IT1934A,751.740,5040.829
IT1936A,750.711,5036.645
IT1938A,1124.924,4376.663
IT1940A,1135.392,4256.277
IT1943A,525.804,4906.904
IT1944A,471.578,4915.408
IT1947A,500.769,4324.175
IT1948A,445.460,4961.853
IT1953A,1281.691,4486.964
IT1961A,442.710,5129.294
IT1962A,920.299,4604.165
IT1963A,362.750,5032.239
IT1964A,552.350,5009.273
IT1965A,538.830,5016.706
IT1967A,567.955,5113.158
IT1975A,552.705,4987.427
IT1976A,369.528,5065.757
IT1977A,922.950,4720.096
IT1992A,460.462,4351.402
IT1994A,482.315,4377.464
