"UTMX","UTMY"
1027.916,4658.652
1028.256,4658.606
1028.531,4658.573
1028.772,4658.552
1029.418,4658.536
1029.670,4658.537
1030.288,4658.540
1030.568,4658.558
1031.170,4658.604
1031.475,4658.630
1032.572,4658.741
1033.465,4658.882
1034.939,4659.144
1035.717,4659.284
1035.787,4659.297
1036.284,4659.405
1038.102,4659.812
1039.073,4660.053
1039.370,4660.128
1041.242,4660.627
1043.070,4661.147
1043.855,4661.376
1045.398,4661.815
1046.572,4662.137
1046.665,4662.164
1047.829,4662.506
1048.296,4662.650
1048.429,4662.703
1049.259,4662.982
1049.334,4662.992
1050.348,4663.066
1050.406,4663.068
1050.434,4663.067
1050.866,4663.017
1051.098,4662.837
1051.101,4662.826
1051.109,4662.818
1051.304,4662.723
1051.336,4662.713
1051.935,4662.534
1051.957,4662.529
1052.025,4662.523
1052.060,4662.521
1052.206,4662.524
1052.247,4662.529
1052.364,4662.570
1052.912,4662.598
1052.874,4662.453
1052.882,4662.415
1052.921,4662.354
1052.951,4662.324
1053.414,4662.038
1053.500,4662.013
1053.639,4661.985
1053.785,4661.972
1053.907,4661.962
1054.383,4661.945
1054.639,4661.947
1055.147,4661.974
1055.414,4661.994
1055.932,4662.039
1056.235,4662.076
1057.271,4662.202
1057.616,4662.258
1058.415,4662.380
1058.874,4662.430
1059.886,4662.594
1062.127,4663.002
1064.486,4663.476
1065.587,4663.710
1066.206,4663.845
1069.077,4664.464
1069.604,4664.602
1071.900,4665.043
1073.986,4665.542
1074.116,4665.574
1074.225,4665.601
1074.626,4665.714
1074.932,4665.802
1075.031,4665.852
1077.256,4666.535
1078.229,4666.812
1078.547,4666.904
1079.057,4667.078
1079.373,4667.207
1079.439,4667.288
1079.449,4667.307
1079.460,4667.328
1079.507,4667.446
1079.500,4667.458
1079.527,4667.497
1079.845,4667.650
1079.970,4667.673
1080.060,4667.647
1080.228,4667.590
1080.258,4667.564
1080.262,4667.532
1080.271,4667.497
1080.284,4667.489
1080.321,4667.487
1080.338,4667.489
1080.507,4667.515
1080.708,4667.563
1080.786,4667.592
1080.916,4667.646
1081.058,4667.747
1081.140,4667.826
1081.165,4667.873
1081.187,4667.942
1081.142,4668.002
1081.334,4668.117
1081.580,4668.099
1081.978,4668.015
1082.064,4667.987
1082.260,4667.905
1082.273,4667.881
1082.311,4667.812
1082.344,4667.735
1082.362,4667.672
1082.493,4667.673
1082.505,4667.673
1083.244,4667.718
1083.295,4667.722
1083.352,4667.727
1083.518,4667.742
1083.835,4667.831
1084.195,4667.901
1084.498,4667.920
1085.142,4667.863
1085.183,4667.868
1085.254,4667.879
1085.279,4667.886
1085.288,4667.894
1085.291,4667.923
1085.290,4667.991
1085.274,4668.135
1085.259,4668.246
1085.261,4668.277
1085.277,4668.292
1085.403,4668.301
1085.414,4668.295
1085.400,4668.252
1085.399,4668.231
1085.518,4667.891
1085.532,4667.874
1085.817,4667.748
1086.701,4667.458
1086.756,4667.453
1086.769,4667.453
1086.781,4667.454
1087.355,4667.579
1087.880,4667.342
1087.986,4667.197
1087.970,4667.188
1087.968,4667.129
1087.979,4667.082
1088.053,4666.949
1088.098,4666.874
1088.151,4666.806
1088.262,4666.720
1088.781,4666.568
1089.026,4666.266
1090.440,4665.082
1090.684,4664.939
1090.698,4664.932
1090.719,4664.923
1090.794,4664.891
1091.226,4664.752
1091.554,4664.704
1091.758,4664.708
1091.793,4664.725
1091.836,4664.746
1091.874,4664.766
1091.904,4664.812
1092.450,4664.791
1093.047,4664.649
1093.407,4664.448
1093.431,4664.432
1093.443,4664.401
1093.446,4664.358
1093.430,4664.331
1093.485,4663.926
1093.637,4663.354
1093.876,4663.033
1094.322,4662.481
1094.437,4662.390
1094.595,4662.297
1094.665,4662.263
1094.821,4662.192
1095.427,4662.000
1095.577,4661.960
1095.716,4661.410
1095.697,4661.379
1095.692,4661.362
1095.686,4661.190
1095.687,4660.294
1095.698,4659.746
1095.756,4659.151
1095.873,4658.660
1096.185,4657.913
1096.261,4657.753
1096.696,4656.975
1096.785,4656.923
1097.219,4656.568
1098.044,4655.644
1098.059,4655.603
1098.060,4655.576
1097.965,4655.256
1097.948,4655.230
1097.932,4655.211
1097.872,4655.160
1097.761,4655.136
1097.711,4655.127
1097.689,4655.033
1097.684,4654.539
1097.783,4653.846
1098.097,4653.106
1098.103,4653.082
1098.045,4651.823
1097.915,4650.711
1097.486,4649.533
1097.472,4649.507
1096.851,4649.136
1096.069,4648.844
1095.945,4648.734
1095.919,4648.667
1095.839,4648.413
1095.789,4648.229
1095.782,4648.182
1095.783,4648.115
1095.782,4647.727
1095.743,4647.452
1095.732,4647.439
1095.722,4647.428
1095.712,4647.417
1095.694,4647.399
1094.930,4646.870
1094.904,4646.854
1094.827,4646.837
1094.785,4646.833
1094.727,4646.833
1094.711,4646.833
1094.595,4646.835
1094.509,4646.836
1094.415,4646.728
1094.374,4646.645
1093.888,4645.715
1092.824,4645.395
1091.068,4644.230
1091.016,4644.179
1091.006,4644.165
1090.912,4644.036
1090.443,4643.292
1089.955,4642.509
1089.911,4642.464
1089.780,4642.404
1089.551,4642.349
1088.679,4641.943
1088.653,4641.927
1088.631,4641.906
1088.562,4641.801
1088.516,4641.724
1088.482,4641.665
1088.460,4641.619
1088.443,4641.578
1088.413,4641.490
1088.366,4641.341
1088.339,4641.254
1088.282,4641.068
1088.190,4640.686
1088.142,4640.475
1088.100,4640.292
1088.089,4640.231
1088.089,4640.176
1086.406,4638.696
1086.057,4638.396
1086.057,4638.372
1086.043,4638.315
1086.031,4638.279
1086.014,4638.259
1085.717,4637.913
1085.641,4637.908
1085.605,4637.931
1085.531,4637.959
1085.489,4637.968
1085.469,4637.971
1085.360,4637.937
1085.190,4637.850
1085.038,4637.748
1084.880,4637.623
1084.779,4637.539
1084.677,4637.448
1084.657,4637.426
1084.484,4637.241
1084.086,4636.918
1084.010,4636.882
1083.509,4636.656
1082.873,4636.409
1082.177,4636.039
1082.150,4636.005
1082.058,4635.876
1081.685,4635.522
1081.117,4635.016
1080.327,4634.477
1080.091,4634.338
1079.882,4634.242
1079.783,4634.206
1079.755,4634.197
1079.728,4634.203
1079.715,4634.218
1079.687,4634.238
1079.663,4634.241
1079.435,4634.140
1078.562,4633.544
1078.419,4633.432
1078.384,4633.387
1078.004,4632.885
1077.471,4632.493
1076.941,4632.098
1076.111,4631.328
1075.285,4630.473
1075.246,4630.377
1075.231,4630.336
1075.161,4630.126
1075.141,4630.065
1075.102,4629.914
1075.067,4629.766
1075.021,4629.540
1074.991,4629.388
1074.921,4628.946
1074.892,4628.668
1074.875,4628.508
1074.862,4628.342
1074.851,4628.145
1074.840,4627.901
1074.841,4627.327
1074.844,4626.794
1074.847,4626.690
1074.852,4626.570
1074.859,4626.449
1074.908,4625.665
1074.982,4625.228
1075.009,4625.072
1075.239,4624.030
1075.504,4622.840
1075.522,4622.765
1075.559,4622.621
1075.621,4622.423
1075.687,4622.209
1075.852,4621.719
1075.897,4621.595
1076.062,4621.176
1076.154,4620.946
1076.178,4620.895
1077.538,4618.045
1077.601,4617.916
1077.762,4617.633
1078.097,4617.066
1078.213,4616.865
1078.260,4616.795
1078.610,4616.284
1078.876,4615.906
1078.993,4615.756
1079.711,4614.877
1080.105,4614.425
1080.413,4614.132
1080.959,4613.619
1081.146,4613.448
1081.642,4613.037
1081.813,4612.909
1081.931,4612.822
1083.282,4611.821
1083.740,4611.531
1083.923,4611.424
1084.099,4611.329
1084.664,4611.028
1084.840,4610.940
1085.482,4610.622
1086.610,4610.119
1086.731,4610.068
1087.160,4609.902
1087.837,4609.638
1088.584,4609.527
1088.719,4609.480
1089.149,4609.310
1090.952,4608.536
1092.421,4607.891
1092.973,4607.663
1093.874,4607.290
1094.068,4607.304
1094.107,4607.316
1094.644,4607.052
1094.997,4606.877
1095.210,4606.748
1095.970,4606.353
1096.030,4606.328
1096.159,4606.286
1096.490,4606.192
1096.719,4606.215
1098.240,4605.368
1098.314,4605.326
1098.398,4605.280
1098.619,4605.158
1098.960,4604.971
1099.716,4604.631
1100.565,4604.352
1101.508,4604.062
1102.076,4603.891
1102.226,4603.851
1102.419,4603.807
1102.623,4603.794
1103.019,4603.790
1103.093,4603.719
1103.279,4603.600
1104.396,4602.926
1104.939,4602.520
1105.440,4602.139
1105.623,4602.005
1106.251,4601.593
1106.445,4601.472
1106.743,4601.304
1107.441,4600.958
1107.876,4600.763
1108.305,4600.595
1108.747,4600.463
1109.178,4600.374
1109.356,4600.373
1109.543,4600.373
1110.583,4600.216
1111.730,4599.875
1111.860,4599.836
1111.893,4599.828
1113.339,4599.461
1113.482,4599.436
1114.251,4599.315
1114.540,4599.302
1114.619,4599.305
1114.744,4599.278
1115.018,4599.205
1115.695,4598.969
1115.901,4598.880
1116.016,4598.839
1116.267,4598.784
1116.676,4598.563
1117.636,4598.023
1118.440,4597.547
1118.756,4597.376
1119.956,4596.908
1120.051,4596.895
1120.152,4596.897
1121.756,4596.511
1122.108,4596.220
1122.179,4595.983
1122.185,4595.968
1122.192,4595.958
1122.200,4595.948
1122.205,4595.942
1122.216,4595.929
1122.224,4595.920
1122.255,4595.884
1122.299,4595.849
1123.632,4595.085
1124.155,4594.675
1124.204,4594.645
1124.453,4594.525
1124.477,4594.514
1124.585,4594.468
1124.611,4594.468
1124.667,4594.494
1125.103,4594.426
1125.544,4594.272
1125.663,4594.221
1125.832,4594.125
1127.002,4594.321
1127.359,4593.795
1127.923,4593.659
1128.629,4593.512
1129.029,4593.456
1129.027,4593.440
1128.994,4593.122
1128.995,4593.076
1128.999,4593.071
1129.042,4593.034
1129.061,4593.020
1129.080,4593.010
1129.190,4592.989
1129.199,4592.988
1129.941,4593.103
1130.025,4593.120
1130.058,4593.118
1130.174,4593.106
1130.426,4593.039
1130.764,4592.934
1131.332,4592.722
1131.385,4592.702
1131.472,4592.664
1131.560,4592.608
1131.782,4592.438
1131.802,4592.414
1131.831,4592.372
1131.839,4592.359
1131.845,4592.327
1131.843,4592.299
1131.834,4592.285
1131.816,4592.270
1131.795,4592.261
1131.778,4592.249
1131.771,4592.235
1131.760,4592.142
1132.208,4591.824
1132.350,4591.748
1132.549,4591.635
1133.509,4591.540
1133.527,4591.535
1134.894,4590.758
1134.936,4590.732
1134.965,4590.713
1135.005,4590.685
1135.076,4590.634
1135.117,4590.595
1135.132,4590.580
1135.154,4590.557
1135.171,4590.530
1135.179,4590.510
1135.177,4590.495
1135.172,4590.474
1135.162,4590.456
1135.158,4590.436
1135.159,4590.413
1135.160,4590.346
1135.163,4590.323
1135.192,4590.244
1135.202,4590.235
1135.898,4589.678
1135.909,4589.672
1136.363,4589.529
1136.381,4589.523
1136.393,4589.520
1136.545,4589.481
1136.701,4589.454
1136.803,4589.444
1137.137,4589.462
1137.179,4589.470
1137.758,4589.270
1138.794,4588.840
1139.728,4588.515
1140.222,4588.435
1140.667,4588.612
1140.912,4588.572
1140.929,4588.558
1140.931,4588.553
1140.974,4588.516
1141.452,4588.388
1141.669,4588.334
1141.676,4588.333
1141.684,4588.331
1141.691,4588.330
1141.703,4588.328
1141.712,4588.327
1141.719,4588.327
1141.731,4588.326
1141.953,4588.326
1142.169,4588.334
1142.612,4588.479
1142.868,4588.435
1143.625,4588.205
1143.977,4588.069
1144.364,4587.848
1144.787,4587.572
1145.707,4587.155
1146.030,4587.054
1146.529,4586.929
1147.941,4586.610
1148.310,4586.570
1148.830,4586.515
1148.973,4586.519
1149.423,4586.493
1149.542,4586.483
1150.889,4586.180
1150.906,4586.175
1151.376,4585.986
1152.723,4585.822
1152.923,4585.757
1152.939,4585.746
1153.649,4585.072
1154.091,4584.623
1154.341,4584.476
1154.941,4584.159
1155.043,4584.112
1155.679,4583.832
1157.278,4583.583
1157.426,4583.566
1157.495,4583.564
1157.583,4583.572
1157.638,4583.577
1157.722,4583.590
1157.758,4583.596
1157.795,4583.607
1158.151,4583.788
1158.243,4583.891
1158.767,4583.656
1159.349,4582.944
1159.373,4582.928
1159.553,4582.887
1159.625,4582.877
1159.679,4582.882
1159.882,4582.911
1160.005,4582.932
