"Grid.ID","Date","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
"3628","05-Jan-2022",6.49,734.818,5216.558,3.0,265.8,382.6,603.8,1.96,640.1,2380.0,1.579e-01,4.505e-04,7.128e+03,0.000e+00,0.000e+00,0.000e+00,3.831e-02,7.123e-01
"3629","05-Jan-2022",6.31,738.818,5216.558,2.9,264.3,325.1,493.7,1.88,539.2,1704.0,9.041e-02,2.972e-04,4.107e+03,0.000e+00,0.000e+00,0.000e+00,2.483e-02,8.669e-01
"3630","05-Jan-2022",6.22,742.818,5216.558,2.6,264.1,309.1,487.8,1.87,16.3,2712.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.110e-03,7.947e-01
"4009","05-Jan-2022",7.01,722.818,5212.558,2.8,268.5,361.3,854.0,2.17,684.9,2553.0,1.718e-01,1.560e-03,2.133e+03,0.000e+00,0.000e+00,0.000e+00,3.069e-02,6.591e-01
"4010","05-Jan-2022",6.87,726.818,5212.558,2.9,268.2,372.1,821.1,2.06,2388.6,1899.0,6.519e-01,5.251e-03,8.445e+03,0.000e+00,1.094e-02,0.000e+00,6.834e-02,7.660e-01
"4011","05-Jan-2022",6.61,730.818,5212.558,3.0,267.6,370.3,744.9,1.95,1636.0,1503.0,3.891e-01,2.092e-03,1.044e+04,0.000e+00,8.120e-03,0.000e+00,6.195e-02,8.722e-01
"4012","05-Jan-2022",6.42,734.818,5212.558,2.9,266.4,332.6,637.6,1.87,1145.4,1731.0,2.147e-01,7.804e-04,1.007e+04,0.000e+00,0.000e+00,0.000e+00,5.682e-02,9.133e-01
"4013","05-Jan-2022",6.25,738.818,5212.558,2.8,265.0,284.6,521.1,1.79,578.0,2947.0,1.286e-01,3.536e-04,5.797e+03,0.000e+00,0.000e+00,0.000e+00,3.230e-02,7.773e-01
"4385","05-Jan-2022",8.68,690.818,5208.558,3.2,268.8,453.7,733.0,1.65,261.9,1521.0,1.469e+00,3.073e-03,8.300e+03,1.480e+04,0.000e+00,1.311e-02,7.253e-03,5.701e-01
"4387","05-Jan-2022",7.78,698.818,5208.558,2.9,266.8,350.0,613.5,1.76,277.9,2319.0,1.039e-01,8.344e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.683e-02,6.135e-01
"4392","05-Jan-2022",7.07,718.818,5208.558,2.5,268.6,230.3,823.8,2.14,1225.2,2523.0,4.582e-01,3.602e-03,2.839e+03,0.000e+00,4.644e-03,0.000e+00,4.712e-02,7.870e-01
