"Grid.ID","Date","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
"3628","01-Jan-2022",6.36,734.818,5216.558,1.0,276.2,412.3,96.2,0.00,640.1,2380.0,1.579e-01,4.505e-04,7.128e+03,0.000e+00,0.000e+00,0.000e+00,3.831e-02,7.123e-01
"3629","01-Jan-2022",6.18,738.818,5216.558,1.2,275.5,603.2,74.5,0.00,539.2,1704.0,9.041e-02,2.972e-04,4.107e+03,0.000e+00,0.000e+00,0.000e+00,2.483e-02,8.669e-01
"3630","01-Jan-2022",6.11,742.818,5216.558,1.2,275.3,520.1,68.6,0.00,16.3,2712.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.110e-03,7.947e-01
"4009","01-Jan-2022",7.13,722.818,5212.558,0.9,278.2,26.0,122.5,0.00,684.9,2553.0,1.718e-01,1.560e-03,2.133e+03,0.000e+00,0.000e+00,0.000e+00,3.069e-02,6.591e-01
"4010","01-Jan-2022",6.97,726.818,5212.558,1.0,277.6,105.1,119.2,0.00,2388.6,1899.0,6.519e-01,5.251e-03,8.445e+03,0.000e+00,1.094e-02,0.000e+00,6.834e-02,7.660e-01
"4011","01-Jan-2022",6.56,730.818,5212.558,1.2,276.9,217.6,115.7,0.00,1636.0,1503.0,3.891e-01,2.092e-03,1.044e+04,0.000e+00,8.120e-03,0.000e+00,6.195e-02,8.722e-01
"4012","01-Jan-2022",6.32,734.818,5212.558,1.3,276.1,389.7,100.4,0.00,1145.4,1731.0,2.147e-01,7.804e-04,1.007e+04,0.000e+00,0.000e+00,0.000e+00,5.682e-02,9.133e-01
"4013","01-Jan-2022",6.13,738.818,5212.558,1.5,275.3,579.8,81.9,0.00,578.0,2947.0,1.286e-01,3.536e-04,5.797e+03,0.000e+00,0.000e+00,0.000e+00,3.230e-02,7.773e-01
"4385","01-Jan-2022",7.82,690.818,5208.558,1.0,279.1,211.0,206.1,0.00,261.9,1521.0,1.469e+00,3.073e-03,8.300e+03,1.480e+04,0.000e+00,1.311e-02,7.253e-03,5.701e-01
"4387","01-Jan-2022",6.20,698.818,5208.558,1.3,277.4,464.8,276.6,0.00,277.9,2319.0,1.039e-01,8.344e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.683e-02,6.135e-01
"4392","01-Jan-2022",7.29,718.818,5208.558,0.6,278.8,24.3,127.9,0.00,1225.2,2523.0,4.582e-01,3.602e-03,2.839e+03,0.000e+00,4.644e-03,0.000e+00,4.712e-02,7.870e-01
"4393","01-Jan-2022",7.87,722.818,5208.558,0.8,278.6,31.5,121.6,0.00,3802.7,1615.0,9.763e-01,9.433e-03,9.136e+03,0.000e+00,1.520e-02,0.000e+00,1.012e-01,8.549e-01
"4394","01-Jan-2022",7.53,726.818,5208.558,1.0,277.9,78.5,118.4,0.00,3432.0,1296.0,7.418e-01,6.082e-03,1.050e+04,0.000e+00,1.553e-02,0.000e+00,9.594e-02,8.550e-01
"4395","01-Jan-2022",6.62,730.818,5208.558,1.2,277.0,146.2,117.3,0.00,2123.9,2383.0,4.757e-01,3.503e-03,9.564e+03,0.000e+00,1.094e-02,0.000e+00,7.065e-02,8.964e-01
"4396","01-Jan-2022",6.25,734.818,5208.558,1.4,276.0,293.5,108.2,0.00,475.9,2499.0,1.095e-01,4.186e-04,4.960e+03,0.000e+00,0.000e+00,0.000e+00,3.888e-02,9.230e-01
"4764","01-Jan-2022",6.43,670.818,5204.558,1.9,275.8,42.0,41.0,0.00,16.6,3104.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.694e-01
"4765","01-Jan-2022",7.01,674.818,5204.558,1.3,277.4,25.2,42.0,0.00,202.5,2130.0,6.465e-02,4.550e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.138e-02,7.813e-01
"4766","01-Jan-2022",7.64,678.818,5204.558,0.8,279.0,14.9,43.4,0.00,440.4,1605.0,7.626e-02,4.591e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.304e-02,7.663e-01
"4767","01-Jan-2022",9.57,682.818,5204.558,0.5,279.5,25.4,62.1,0.00,1699.5,2136.0,6.861e-01,3.989e-03,4.720e+03,7.328e+03,4.077e-03,3.348e-03,5.258e-02,6.885e-01
"4768","01-Jan-2022",11.06,686.818,5204.558,0.5,280.0,41.3,84.7,0.00,1489.0,1729.0,1.117e+00,3.832e-03,1.067e+04,1.933e+04,4.272e-03,1.116e-02,4.405e-02,7.922e-01
"4769","01-Jan-2022",8.60,690.818,5204.558,0.7,279.3,100.8,140.0,0.00,685.8,2111.0,9.224e-01,2.039e-03,1.003e+04,1.770e+04,0.000e+00,1.653e-02,6.742e-02,8.870e-01
"4770","01-Jan-2022",6.57,694.818,5204.558,1.0,278.7,165.1,188.8,0.00,602.1,1557.0,1.102e-01,8.781e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.844e-02,8.602e-01
"4771","01-Jan-2022",6.34,698.818,5204.558,1.1,278.4,264.2,221.3,0.00,367.5,1646.0,6.979e-02,5.129e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.362e-02,9.198e-01
"4772","01-Jan-2022",6.19,702.818,5204.558,1.2,278.1,340.9,238.5,0.00,144.6,2204.0,4.357e-02,3.748e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.003e-02,9.522e-01
"4773","01-Jan-2022",6.24,706.818,5204.558,1.0,277.9,372.1,217.7,0.00,3.1,2763.0,2.096e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.728e-03,8.939e-01
"4774","01-Jan-2022",6.47,710.818,5204.558,0.8,278.1,314.4,191.3,0.00,87.1,2412.0,1.053e-02,1.165e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.154e-02,8.808e-01
"4775","01-Jan-2022",6.98,714.818,5204.558,0.6,279.0,120.9,154.8,0.00,694.7,2121.0,1.156e-01,9.742e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.190e-02,9.363e-01
