"Date","Station.ID","Data","ENS","Estimated","Q0","Q1","Q3","Q4"
"28/06/2022","IT0267A","47.85","36.98","43.0352795104494","38.1048597722823","41.2704433860962","44.8755848154142","48.6036503902762"
"28/06/2022","IT0460A","62.47","59.27","48.7212737902697","39.5528890274381","45.3482590644634","52.3451741856744","60.0148959561395"
"28/06/2022","IT0477A","46.1","35.12","37.5350052837825","32.2515258215958","35.6256511682533","39.5466910906335","43.6840300036344"
"28/06/2022","IT0480A",NA,"35.64","36.5305013153389","31.6391846756015","34.767322197859","38.3830977478085","42.1779998452063"
"28/06/2022","IT0505A",NA,"33.39","22.4376747624922","17.6492019856109","20.6586030281361","24.3699560934349","28.525326479794"
"28/06/2022","IT0592A",NA,"34.22","34.9961968427241","30.3965316217293","33.3396441407772","36.7350589671333","40.2918927953995"
"28/06/2022","IT0593A",NA,"34.44","35.5919176195178","30.4030929871113","33.7132848130019","37.5752350107988","41.6663067922583"
"28/06/2022","IT0689A","32.12","30.73","35.3832561279138","30.0400834177362","33.4449873108305","37.4338552614168","41.6768088424935"
"28/06/2022","IT0694A",NA,"35.56","35.5067031086695","30.9045252342051","33.8503465817362","37.2441080507997","40.7942188431302"
"28/06/2022","IT0743A",NA,"54.06","57.7886818414602","47.6729744463673","54.0858109353912","61.7450619897848","70.0508367215586"
"28/06/2022","IT0792A",NA,"56.9","59.696978902093","47.6909918914762","55.2578276378144","64.4927504822536","74.7254177087872"
"28/06/2022","IT0815A","102","54.34","91.6097856767815","73.0017408000217","84.7241660364842","99.0550066687219","114.960995995089"
"28/06/2022","IT0846A","56.93","44.3","48.8247809942016","41.8955789308064","46.3196221888492","51.4654292604665","56.9000190466128"
"28/06/2022","IT0858A",NA,"45.53","50.3221252168515","40.3697354574542","46.6470643911987","54.2867234924707","62.7280872080347"
"28/06/2022","IT0966A",NA,"40.82","31.4179656303289","18.7072857872651","26.2839359796377","37.5548230338572","52.7649267549267"
"28/06/2022","IT0977A",NA,"11.53","15.1265850376954","10.7271801941432","13.4393140173081","17.0256885588021","21.3302630105494"
"28/06/2022","IT1029A","45","51.66","38.9455059107821","31.0227950187234","36.0134765609305","42.1162457915053","48.8915466749966"
"28/06/2022","IT1076A","73.2","63.56","77.3587993634117","65.3094035586417","72.9800553944181","82.0002644093129","91.6312737962026"
"28/06/2022","IT1082A",NA,"64.17","79.6906991202482","67.2258882090068","75.1598842491011","84.4946421847353","94.4666957248633"
"28/06/2022","IT1149A",NA,"56.1","52.8759760082209","31.1181221613883","44.0578517188553","63.4590369195286","89.8469651967334"
"28/06/2022","IT1178A",NA,"38.96","37.7307037771479","30.0382001783746","34.8833703361012","40.8104490421206","47.3931859786918"
"28/06/2022","IT1186A",NA,"50.68","47.5999514788713","32.2675801088447","41.6392529510053","54.4139296508727","70.2177037493384"
"28/06/2022","IT1233A",NA,"26.48","31.0994803330783","25.148541541794","28.9074725737631","33.4577045613234","38.4585990953068"
"28/06/2022","IT1280A",NA,"54.03","51.8518737849132","25.0667964643425","40.3769269755334","66.58795050539","107.258094141831"
"28/06/2022","IT1336A","46","49.5","48.7419304536911","40.9824684278463","45.9185184428012","51.7389468327875","57.9705390009694"
"28/06/2022","IT1343A",NA,"48.54","49.4628488426915","41.6185595692564","46.6092184109451","52.4911916364688","58.7856341246907"
"28/06/2022","IT1453A","41","41.76","43.4530679109684","37.6668323305864","41.3678586612259","45.6433852749795","50.1281630030246"
"28/06/2022","IT1463A","39.92","39","37.8531432796691","33.7584272564886","36.3908087194992","39.374240545069","42.4445263775063"
"28/06/2022","IT1477A",NA,"44.2","38.0876617815035","20.3573019026313","30.7013784837836","47.2509721590658","71.2604247321544"
"28/06/2022","IT1518A",NA,"26.44","30.7147876815553","26.839979642702","29.3219743310757","32.173760595759","35.1489902332894"
"28/06/2022","IT1524A",NA,"26.7","31.8832082941767","25.9813032290624","29.7144812614027","34.2102210093192","39.1257883473978"
"28/06/2022","IT1537A",NA,"44.03","37.2606618552385","20.1343355767693","30.1480377455828","46.0513196117994","68.9546926739562"
"28/06/2022","IT1548A",NA,"46.69","49.325894208136","40.4583178995144","46.0740466989254","52.8072529710955","60.1370488381433"
