"UTMX","UTMY"
1080.760,4256.973
1080.771,4256.973
1081.254,4256.963
1081.569,4256.909
1081.624,4256.899
1081.764,4256.868
1081.844,4256.846
1081.922,4256.821
1081.981,4256.797
1082.039,4256.772
1082.155,4256.697
1082.191,4256.669
1082.236,4256.588
1082.277,4256.507
1082.290,4256.458
1082.291,4256.425
1082.279,4256.389
1082.153,4256.186
1082.102,4256.158
1080.020,4255.453
1079.986,4255.452
1079.435,4255.277
1078.986,4255.125
1078.685,4255.007
1077.858,4254.599
1076.777,4253.995
1076.652,4253.920
1076.489,4253.815
1076.380,4253.738
1076.349,4253.703
1076.264,4253.580
1076.220,4253.503
1075.551,4252.339
1075.371,4251.859
1075.146,4251.165
1074.964,4250.119
1074.841,4249.208
1074.587,4248.434
1074.568,4248.415
1074.548,4248.346
1074.542,4248.300
1074.537,4248.231
1074.511,4247.849
1074.543,4247.331
1074.544,4247.317
1074.648,4247.156
1074.676,4247.142
1074.787,4247.092
1074.854,4247.089
1074.889,4247.090
1074.911,4247.104
1074.933,4247.135
1075.168,4247.516
1075.230,4247.630
1075.231,4247.643
1075.196,4247.720
1075.151,4247.808
1075.120,4247.812
1074.923,4247.878
1074.892,4247.892
1074.841,4247.978
1074.844,4248.057
1074.849,4248.092
1074.880,4248.210
1074.925,4248.284
1074.971,4248.310
1075.642,4248.322
1075.885,4248.182
1076.141,4247.959
1076.144,4247.945
1076.133,4247.847
1076.122,4247.824
1076.096,4247.783
1076.049,4247.718
1075.911,4247.529
1075.892,4247.504
1075.550,4247.113
1075.302,4246.835
1074.984,4246.375
1074.267,4245.204
1074.082,4244.883
1074.047,4244.817
1074.031,4244.788
1072.518,4241.668
1071.892,4240.191
1071.694,4239.243
1070.897,4237.046
1070.606,4236.158
1069.849,4234.084
1069.836,4234.055
1069.727,4233.857
1069.478,4233.443
1069.465,4233.424
1069.188,4233.128
1069.066,4233.014
1068.977,4232.919
1068.922,4232.843
1068.850,4232.719
1068.822,4232.657
1068.778,4232.552
1068.652,4232.228
1068.627,4232.160
1068.593,4231.984
1068.552,4231.730
1068.433,4231.564
1068.188,4231.273
1067.826,4230.893
1067.448,4230.544
1067.247,4230.328
1066.962,4230.007
1066.919,4229.956
1066.895,4229.922
1066.889,4229.880
1065.768,4228.316
1065.728,4228.280
1065.707,4228.247
1065.667,4228.180
1065.658,4228.148
1065.644,4228.102
1065.623,4227.984
1065.621,4227.940
1065.629,4227.822
1065.643,4227.700
1065.483,4227.311
1064.802,4226.389
1064.750,4226.340
1064.730,4226.322
1064.642,4226.219
1064.631,4226.203
1064.589,4226.147
1064.185,4225.551
1064.172,4225.532
1063.986,4225.225
1063.866,4225.020
1063.828,4224.942
1063.815,4224.914
1063.785,4224.850
1063.773,4224.817
1063.771,4224.805
1063.769,4224.794
1062.718,4223.368
1061.285,4221.100
1060.770,4220.313
1060.717,4220.195
1060.490,4219.781
1060.369,4219.567
1060.042,4219.063
1060.011,4219.018
1059.742,4218.639
1059.654,4218.522
1059.522,4218.315
