"id","UTMX","UTMY"
NA,1098.818,3900.558
NA,1102.818,3900.558
NA,1106.818,3900.558
NA,1110.818,3900.558
NA,1114.818,3900.558
NA,1118.818,3900.558
NA,1122.818,3900.558
NA,1126.818,3900.558
NA,1130.818,3900.558
NA,1134.818,3900.558
NA,1138.818,3900.558
NA,1142.818,3900.558
NA,1146.818,3900.558
NA,1150.818,3900.558
NA,1154.818,3900.558
NA,1158.818,3900.558
NA,1162.818,3900.558
NA,1166.818,3900.558
NA,1170.818,3900.558
NA,1174.818,3900.558
NA,1178.818,3900.558
NA,1182.818,3900.558
NA,1186.818,3900.558
NA,1190.818,3900.558
NA,1194.818,3900.558
NA,1198.818,3900.558
NA,1202.818,3900.558
NA,1206.818,3900.558
NA,1210.818,3900.558
NA,1214.818,3900.558
NA,1218.818,3900.558
NA,1222.818,3900.558
NA,1226.818,3900.558
NA,1230.818,3900.558
NA,1234.818,3900.558
NA,1238.818,3900.558
NA,1242.818,3900.558
NA,1246.818,3900.558
NA,1250.818,3900.558
NA,1254.818,3900.558
NA,1258.818,3900.558
NA,1262.818,3900.558
NA,1266.818,3900.558
NA,1270.818,3900.558
NA,1274.818,3900.558
NA,1278.818,3900.558
NA,1282.818,3900.558
NA,1286.818,3900.558
NA,1290.818,3900.558
NA,1294.818,3900.558
NA,1298.818,3900.558
NA,1302.818,3900.558
NA,1306.818,3900.558
NA,1310.818,3900.558
NA,1314.818,3900.558
NA,1318.818,3900.558
NA,1322.818,3900.558
NA,1326.818,3900.558
NA,1330.818,3900.558
NA,1334.818,3900.558
NA,1338.818,3900.558
NA,1342.818,3900.558
NA,1346.818,3900.558
NA,1350.818,3900.558
NA,1354.818,3900.558
NA,1358.818,3900.558
NA,1362.818,3900.558
NA,1366.818,3900.558
NA,1370.818,3900.558
NA,1374.818,3900.558
NA,1378.818,3900.558
NA,1382.818,3900.558
NA,1386.818,3900.558
NA,1390.818,3900.558
NA,1394.818,3900.558
NA,1398.818,3900.558
NA,1402.818,3900.558
NA,1406.818,3900.558
NA,1410.818,3900.558
NA,1414.818,3900.558
NA,1418.818,3900.558
NA,1422.818,3900.558
NA,1426.818,3900.558
NA,1430.818,3900.558
NA,1434.818,3900.558
NA,1438.818,3900.558
NA,1442.818,3900.558
NA,1446.818,3900.558
NA,1450.818,3900.558
NA,1454.818,3900.558
NA,1458.818,3900.558
NA,1462.818,3900.558
NA,1466.818,3900.558
NA,1470.818,3900.558
NA,1474.818,3900.558
NA,1478.818,3900.558
NA,1482.818,3900.558
NA,1486.818,3900.558
NA,1490.818,3900.558
NA,1494.818,3900.558
NA,1498.818,3900.558
NA,1502.818,3900.558
NA,1506.818,3900.558
NA,1510.818,3900.558
NA,1514.818,3900.558
NA,1518.818,3900.558
NA,1522.818,3900.558
NA,1526.818,3900.558
NA,1530.818,3900.558
NA,1534.818,3900.558
NA,1538.818,3900.558
NA,1542.818,3900.558
NA,1546.818,3900.558
NA,1550.818,3900.558
NA,1554.818,3900.558
NA,1558.818,3900.558
NA,1562.818,3900.558
NA,1566.818,3900.558
NA,1570.818,3900.558
NA,1574.818,3900.558
NA,1578.818,3900.558
NA,46.818,3904.558
NA,50.818,3904.558
NA,54.818,3904.558
NA,58.818,3904.558
NA,62.818,3904.558
NA,66.818,3904.558
NA,70.818,3904.558
NA,74.818,3904.558
NA,78.818,3904.558
NA,82.818,3904.558
NA,86.818,3904.558
NA,90.818,3904.558
NA,94.818,3904.558
NA,98.818,3904.558
NA,102.818,3904.558
NA,106.818,3904.558
NA,110.818,3904.558
NA,114.818,3904.558
NA,118.818,3904.558
NA,122.818,3904.558
NA,126.818,3904.558
NA,130.818,3904.558
NA,134.818,3904.558
NA,138.818,3904.558
NA,142.818,3904.558
NA,146.818,3904.558
NA,150.818,3904.558
NA,154.818,3904.558
NA,158.818,3904.558
NA,162.818,3904.558
NA,166.818,3904.558
NA,170.818,3904.558
