"Station.ID","Date","Data","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
IT0063A,"28/06/2022",NA,54.65,625.172,4755.201,6.4,299.5,364.8,544.5,0.06,31219.7,32.0,1.837e+01,1.306e-01,0.000e+00,2.671e+03,5.541e-02,1.178e-01,1.078e-01,1.175e-01
IT0187A,"28/06/2022",36.00,42.77,706.513,4968.776,2.0,304.4,105.7,1123.9,0.60,98566.0,6.0,2.216e+01,1.611e-01,2.929e+04,1.464e+04,2.496e-01,1.756e-01,3.508e-01,4.062e-03
IT0448A,"28/06/2022",56.00,40.67,759.225,5036.001,1.8,299.4,100.0,168.4,0.06,69946.7,0.0,1.164e+01,9.803e-02,9.164e+03,0.000e+00,9.948e-02,7.831e-02,1.528e-03,4.719e-03
IT0459A,"28/06/2022",48.25,53.90,850.465,4836.491,3.8,306.9,36.0,549.4,0.00,31998.9,18.0,8.282e+00,4.934e-02,0.000e+00,4.325e+04,8.178e-02,8.039e-02,6.873e-01,2.542e-02
IT0461A,"28/06/2022",NA,51.14,853.940,4840.510,4.1,304.3,36.6,307.2,0.00,37980.2,2.0,1.445e+01,9.453e-02,4.555e+03,3.116e+04,8.774e-02,6.898e-02,3.008e-01,1.131e-02
IT0462A,"28/06/2022",NA,51.39,852.557,4840.746,4.0,304.4,32.3,310.2,0.00,37281.4,2.0,1.404e+01,9.128e-02,5.893e+03,3.483e+04,8.764e-02,7.916e-02,3.380e-01,1.452e-02
IT0463A,"28/06/2022",35.03,51.63,854.217,4839.102,4.0,304.9,40.1,359.1,0.00,36355.5,85.0,1.151e+01,7.300e-02,3.418e+03,4.158e+04,8.092e-02,7.114e-02,4.456e-01,1.304e-02
IT0469A,"28/06/2022",NA,27.96,395.959,4992.221,1.8,296.3,46.9,502.4,2.20,699495.5,243.0,5.178e+01,4.294e-01,8.394e+04,2.787e+03,5.750e-01,2.432e-01,1.770e-02,4.376e-02
IT0470A,"28/06/2022",33.00,27.59,397.359,4995.339,1.9,295.8,44.4,441.6,2.59,434920.8,233.0,4.612e+01,3.504e-01,6.642e+04,4.546e+04,4.199e-01,3.384e-01,1.160e-01,2.998e-02
IT0499A,"28/06/2022",26.80,29.83,642.335,5164.557,1.3,287.7,12.8,365.2,3.15,6867.4,634.0,2.049e+00,1.682e-02,1.064e+04,0.000e+00,2.172e-02,7.195e-03,2.397e-01,6.780e-01
IT0502A,"28/06/2022",NA,35.32,679.749,5150.302,0.8,293.1,34.2,372.3,2.51,109758.6,253.0,1.234e+01,9.618e-02,3.231e+04,3.087e+04,1.318e-01,6.610e-02,3.024e-01,4.476e-01
IT0507A,"28/06/2022",29.82,33.79,702.844,5176.906,0.4,290.7,20.4,388.4,1.47,25395.8,563.0,5.786e+00,4.635e-02,1.496e+04,2.004e+04,5.755e-02,1.297e-02,2.085e-01,5.885e-01
IT0508A,"28/06/2022",28.88,34.40,724.660,5186.854,1.1,290.6,15.3,344.9,1.28,22290.3,836.0,5.916e+00,5.056e-02,2.091e+04,0.000e+00,6.856e-02,1.982e-02,2.159e-01,5.355e-01
IT0524A,"28/06/2022",NA,38.69,540.314,5043.317,3.5,299.2,52.6,637.3,1.53,67455.2,144.0,1.543e+01,1.022e-01,2.519e+04,1.532e+04,1.643e-01,5.834e-02,7.075e-01,1.946e-02
IT0544A,"28/06/2022",35.00,41.85,565.639,4963.722,2.4,296.9,61.0,471.9,3.10,6731.2,222.0,2.388e+00,2.211e-02,0.000e+00,0.000e+00,2.170e-02,9.503e-03,2.524e-01,2.478e-01
IT0591A,"28/06/2022",32.17,39.20,658.221,5084.119,1.0,293.2,18.5,269.2,2.16,51155.2,194.0,1.052e+01,8.387e-02,2.360e+04,2.210e+04,1.213e-01,3.371e-02,1.800e-01,4.443e-01
IT0594A,"28/06/2022",48.61,43.20,595.527,5043.761,1.5,298.0,126.5,279.7,2.49,182383.0,179.0,3.244e+01,2.359e-01,8.729e+03,5.001e+04,3.400e-01,1.726e-01,2.024e-01,2.149e-01
IT0611A,"28/06/2022",62.30,55.21,1044.295,4132.736,2.8,311.6,22.4,1938.6,0.00,7814.3,243.0,6.648e+00,5.165e-02,0.000e+00,1.736e+04,1.544e-02,9.942e-02,3.015e-01,3.878e-01
IT0614A,"28/06/2022",73.40,53.63,1050.002,4130.178,4.5,308.5,17.8,1350.1,0.00,12609.9,18.0,1.726e+01,1.457e-01,0.000e+00,1.912e+04,3.234e-02,1.972e-01,1.593e-01,1.725e-01
IT0618A,"28/06/2022",77.50,53.04,1052.181,4137.272,4.3,305.1,20.3,348.0,0.00,26371.5,15.0,2.046e+01,1.805e-01,0.000e+00,0.000e+00,9.734e-02,7.237e-02,6.695e-02,2.116e-02
IT0620A,"28/06/2022",78.50,51.77,1056.797,4124.190,4.9,304.7,20.9,140.1,0.00,100834.8,70.0,2.673e+01,2.217e-01,3.509e+04,5.371e+03,1.858e-01,9.712e-02,1.291e-01,9.163e-02
IT0623A,"28/06/2022",NA,34.57,508.235,5030.972,4.4,300.2,180.1,837.6,3.43,335540.3,115.0,3.564e+01,2.430e-01,2.801e+04,3.279e+04,3.831e-01,1.954e-01,3.789e-01,0.000e+00
IT0643A,"28/06/2022",NA,27.92,469.370,4972.648,3.2,299.6,248.3,957.8,2.71,68133.1,95.0,1.464e+01,8.365e-02,1.842e+04,6.058e+04,1.145e-01,1.027e-01,6.916e-01,7.103e-03
IT0663A,"28/06/2022",NA,43.19,684.347,5065.050,3.1,298.8,25.4,439.1,1.06,56224.8,189.0,1.562e+01,1.275e-01,3.052e+04,0.000e+00,1.721e-01,6.608e-02,2.794e-01,3.020e-01
IT0692A,"28/06/2022",35.23,31.57,492.570,4994.249,1.7,300.8,256.5,855.7,1.41,9091.6,82.0,6.173e+00,3.547e-02,0.000e+00,0.000e+00,4.133e-02,5.389e-02,7.533e-01,8.122e-02
IT0702A,"28/06/2022",NA,41.09,628.698,4950.878,1.5,302.0,84.0,663.8,2.91,126006.6,56.0,2.249e+01,2.027e-01,3.697e+04,2.679e+04,2.521e-01,1.570e-01,5.372e-01,0.000e+00
IT0703A,"28/06/2022",29.12,39.92,689.831,5102.735,1.3,292.3,15.2,491.0,2.29,15757.2,389.0,4.092e+00,3.779e-02,5.426e+02,1.932e+04,7.327e-02,1.440e-02,1.191e-01,5.912e-01
IT0705A,"28/06/2022",37.76,35.14,515.310,5034.380,4.4,300.2,174.8,842.6,3.04,823124.0,117.0,6.297e+01,4.893e-01,8.286e+04,1.885e+04,7.704e-01,1.503e-01,6.192e-02,0.000e+00
IT0706A,"28/06/2022",35.40,36.24,525.594,5036.635,4.4,299.9,143.0,820.4,2.45,116964.3,114.0,2.674e+01,1.490e-01,2.509e+04,3.330e+04,1.804e-01,2.179e-01,4.878e-01,0.000e+00
IT0707A,"28/06/2022",30.13,37.53,550.135,5059.838,1.3,299.3,35.4,659.0,1.19,182980.1,233.0,3.624e+01,2.520e-01,1.882e+04,6.512e+04,3.568e-01,1.588e-01,2.873e-01,7.591e-02
IT0709A,"28/06/2022",44.77,39.01,641.773,5000.578,0.9,299.6,170.8,344.4,3.79,71541.1,22.0,2.207e+01,1.319e-01,4.537e+04,1.665e+04,2.106e-01,1.416e-01,4.742e-01,4.528e-02
IT0721A,"28/06/2022",NA,42.35,651.070,4944.286,0.4,303.1,54.3,846.2,3.12,156421.7,38.0,2.742e+01,2.101e-01,9.717e+03,7.373e+04,2.679e-01,1.558e-01,5.418e-01,0.000e+00
IT0732A,"28/06/2022",NA,26.06,484.792,5075.857,1.6,297.6,105.6,931.0,4.88,94469.9,420.0,1.510e+01,1.094e-01,2.305e+04,1.559e+03,3.674e-01,2.365e-02,1.241e-02,4.005e-01
IT0737A,"28/06/2022",NA,37.86,581.030,5062.755,2.5,297.5,36.0,501.2,1.48,8513.8,359.0,1.945e+00,1.284e-02,0.000e+00,0.000e+00,2.144e-02,4.729e-03,1.492e-02,3.793e-01
IT0740A,"28/06/2022",36.66,40.30,593.559,5056.418,2.5,296.6,47.1,317.0,1.94,50002.1,273.0,9.106e+00,7.367e-02,0.000e+00,0.000e+00,1.118e-01,2.538e-02,1.232e-02,7.872e-01
IT0741A,"28/06/2022",NA,42.19,601.972,5011.421,1.6,298.6,153.6,244.7,2.85,10715.4,47.0,4.971e+00,2.758e-02,7.382e+03,0.000e+00,4.819e-02,0.000e+00,9.360e-01,0.000e+00
